Temperature ni=1e17 ni=5e17 ni=1e18 ni=5e18 ni=1e19
eV
1.1501 0.985748554 0.92245608 0.867348523 0.680610912 0.600887504
1.1601 0.987461963 0.926005117 0.872376465 0.688079753 0.608314032
1.1701 0.98922543 0.92942915 0.877219345 0.695384291 0.615622204
1.1801 0.99105518 0.932742037 0.881889229 0.702527808 0.622813127
1.1901 0.992966892 0.935957443 0.886398064 0.709513797 0.629888092
1.2001 0.994976732 0.939088875 0.89075842 0.71634585 0.636848559
1.2101 0.997101372 0.942149717 0.894980432 0.723028033 0.643696151
1.2201 0.999358003 0.945153264 0.899076569 0.729564264 0.650432645
1.2301 1.00176433 0.948112752 0.903058351 0.735959202 0.657059844
1.2401 1.00433854 0.951041389 0.90693722 0.74221615 0.66358004
1.2501 1.00709928 0.953952378 0.910724547 0.748340087 0.669995289
1.2601 1.01006456 0.956858934 0.914431649 0.754335569 0.676307894
1.2701 1.01325571 0.959774307 0.918069794 0.760207261 0.682520267
1.2801 1.01669139 0.962711784 0.921650215 0.765959925 0.688635389
1.2901 1.02039133 0.9656847 0.925184117 0.771598414 0.694654928
1.3001 1.02437526 0.968706435 0.928682683 0.777127664 0.700582092
1.3101 1.02866276 0.971790406 0.932157081 0.782552689 0.706419683
1.3201 1.0332731 0.974950054 0.935618461 0.787878572 0.712170587
1.3301 1.03822506 0.978198818 0.939077959 0.793110459 0.717837766
1.3401 1.04353676 0.981550116 0.942546692 0.798253559 0.723424256
1.3501 1.04922542 0.985017299 0.94603575 0.803313131 0.728933164
1.3601 1.05530717 0.98861362 0.949556184 0.808294484 0.734367656
1.3701 1.06179686 0.992352174 0.953118996 0.81320297 0.739730961
1.3801 1.06870782 0.996245851 0.956735115 0.818043981 0.745026361
1.3901 1.07605168 1.00030727 0.960415382 0.822822938 0.750257189
1.4001 1.08383814 1.00454873 0.964170521 0.827545294 0.755426826
1.4101 1.09207484 1.0089821 0.968011109 0.832216521 0.760538693
1.4201 1.10076718 1.01361879 0.971947548 0.836842107 0.765596248
1.4301 1.10991816 1.01846965 0.975990025 0.841427551 0.770602985
1.4401 1.11952832 1.02354491 0.980148479 0.845978426 0.775562425
1.4501 1.12959561 1.02885408 0.984432558 0.85050008 0.780478111
1.4601 1.14011537 1.03440592 0.988851575 0.854998076 0.785353609
1.4701 1.15108033 1.04020831 0.993414469 0.859477207 0.790192497
1.4801 1.16248061 1.04626823 0.998129759 0.863944289 0.794998362
1.4901 1.17430492 1.05259169 1.0030055 0.868404012 0.799774796
1.5001 1.18653624 1.05918368 1.00804924 0.872861731 0.804525389
1.5101 1.19915829 1.06604809 1.01326797 0.877322743 0.809253725
1.5201 1.2121516 1.07318773 1.01866811 0.881792279 0.813963372
1.5301 1.22549467 1.08060322 1.02425543 0.886275493 0.818657884
1.5401 1.23916413 1.08829704 1.03003506 0.89077745 0.823340786
1.5501 1.25313498 1.09626754 1.03601144 0.895303114 0.828015574
1.5601 1.26738077 1.10451299 1.04218827 0.899857338 0.832685793
1.5701 1.28187389 1.11303044 1.04856853 0.904444853 0.83735468
1.5801 1.29658572 1.12181584 1.05515445 0.909070254 0.84202569
1.5901 1.31148696 1.13086405 1.06194653 0.91373799 0.846702129
1.6001 1.3265478 1.14016888 1.06894732 0.918452351 0.851387241
1.6101 1.34173817 1.14972316 1.07615579 0.923217458 0.856084198
1.6201 1.35702797 1.15951876 1.08357116 0.928037249 0.860795416
1.6301 1.37238731 1.16954669 1.09119184 0.932915475 0.86552528
1.6401 1.38778664 1.17979714 1.0990155 0.93785568 0.870276017
1.6501 1.40319703 1.19025955 1.10703913 0.942861202 0.875050451
1.6601 1.41859029 1.20092268 1.115259 0.947935155 0.879851306
1.6701 1.43393914 1.2117747 1.12367075 0.953080427 0.884681198
1.6801 1.44921736 1.22280327 1.13226936 0.958299669 0.889542626
1.6901 1.46439992 1.23399558 1.14104925 0.963595293 0.894437973
1.7001 1.47946307 1.24533845 1.15000429 0.968969462 0.899369496
1.7101 1.49438447 1.25681842 1.15912783 0.974424089 0.904339323
1.7201 1.50914322 1.2684218 1.16841275 0.979960832 0.909349451
1.7301 1.52371994 1.28013471 1.17785153 0.985581092 0.914401738
1.7401 1.53809681 1.29194324 1.18743623 0.991286015 0.919497902
1.7501 1.5522576 1.30383343 1.19715862 0.997076487 0.92463952
1.7601 1.56618768 1.31579136 1.20701014 1.00295401 0.929828022
1.7701 1.57987399 1.32780322 1.216982 1.00891727 0.935064691
1.7801 1.5933051 1.33985537 1.22706522 1.01496722 0.940350662
1.7901 1.6064711 1.35193437 1.23725064 1.02110374 0.945686922
1.8001 1.61936362 1.36402703 1.24752898 1.02732639 0.951074306
1.8101 1.63197576 1.37612049 1.25789089 1.03363474 0.956513504
1.8201 1.64430206 1.38820223 1.26832696 1.04002789 0.962005054
1.8301 1.65633841 1.40026012 1.2788278 1.04650481 0.96754935
1.8401 1.66808201 1.41228243 1.28938404 1.05306424 0.973146639
1.8501 1.67953132 1.42425792 1.29998637 1.05970474 0.978797026
